QUERY: "silver star" | total 1436 | showing years 1946-1960
  1952/01/30 | Provinciale Noord-Brabantsche courant Het huisgezin | p1 | MMUBTB04:210858025:mpeg21:a00003 | Dinsdag werd op de Amerikaanse Ambassade te Den Haag aan de moeder
  1952/01/26 | Nieuwe provinciale Groninger courant | p6 | MMRHCG04:235032022:mpeg21:a00054 | In de officierscantine van de Prins
  1946/07/25 | De Volksvriend | p8 | ddd:011184971:mpeg21:a0053 | Drives Truck, Runs Cement Mixer
  1952/01/24 | Algemeen Handelsblad | p | KBNRC01:000046588:mpeg21:a0063 | Posthume onderscheiding voor A. A. van Balkom
  1951/05/05 | De West : nieuwsblad uit en voor Suriname | p3 | ddd:110637680:mpeg21:a0074 | Prijszetting
  1951/08/14 | Winschoter courant | p1 | MMRHCG03:163540038:mpeg21:a00004 | AMERIKAANSE ONDERSCHEIDINGEN VOOR KOREA-DETACHEMENT
  1953/08/08 | Provinciale Drentsche en Asser courant | p4 | MMKB23:001568034:mpeg21:a00134 | Advertentie
  1958/03/01 | Provinciale Drentsche en Asser courant | p6 | MMKB23:001576051:mpeg21:a00138 | Advertentie
  1951/10/22 | De Maasbode | p2 | MMKB15:000563096:mpeg21:a00011 | LAATSTE BERICHTEN
  1952/01/26 | Trouw | p | ABCDDD:010819709:mpeg21:a0114 | Nederlands Koreastrijder gaf zijn leven voor zijn vrienden
  1952/02/18 | Ons Noorden | p5 | MMRHCG04:235384041:mpeg21:a00079 | Heldhaftige acties op Korea van Nederlandse soldaten Staaltjes van durf en moed
  1954/06/19 | Indische courant voor Nederland | p2 | MMKB19:000290177:mpeg21:a00038 | Djakartase boksers in Medan
  1952/04/02 | Onze toekomst | p6 | ddd:011186213:mpeg21:a0019 | Advertentie
  1951/08/14 | Leeuwarder courant : hoofdblad van Friesland | p1 | ddd:010613035:mpeg21:a0011 | Nieuwe commandant voor Korea-detachement Kapt. Tiede de Haan kreeg bronzen kruis
  1951/05/01 | Leeuwarder courant : hoofdblad van Friesland | p1 | ddd:010612948:mpeg21:a0017 | Nederlands detachement weer in de achterhoede Vaandrig onderscheiden
  1958/04/12 | De nieuwe Limburger | p6 | MMCC01:048049036:mpeg21:a00106 | Advertentie
  1952/09/13 | Gazet van Limburg | p6 | MMCC01:048033064:mpeg21:a00125 | Advertentie
  1951/04/30 | Nieuwsblad van het Noorden | p1 | ddd:010762042:mpeg21:a0003 | Nederlanders in Korea dekten terugtocht
