QUERY: "krampachtige houding" AND date within "1947-06-01 1949-12-31" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: "marshall eilanden" AND date within "1948-01-01 1948-04-30" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: "marshall-eilanden" AND date within "1948-01-01 1948-04-30" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: elsevier AND "raadsel van de zee" | collection: DDD_artikel | numberOfRecords: 1 
1948/01/24 | Leekster courant | p1 | MMRHCG04:235133008:mpeg21:a00006 | MYSTERIE, DAT DE ZEE NIMMER ZAL PRIJSGEVEN. | Groninger archieven
1948/03/10 | Nieuwsblad voor de Hoeksche Waard en IJselmonde | p1 | MMMHW01:001051029:mpeg21:a00003 | Neemt de republiek deel aan de federale regering? | Museum Hoeksche Waard
1947/08/16 | De Maasbode | p1 | MMKB15:000549040:mpeg21:a00005 | Eindrapport wordt opgesteld | Koninklijke Bibliotheek
1947/10/01 | De Nederlander | p1 | MMKB19:000080079:mpeg21:a00002 | CONGRES GELOOFTTRUMAN NIETGEHEEL | Koninklijke Bibliotheek
1947/09/16 | Opregte Steenwijker courant | p | MMGASL01:000410023:mpeg21:a00026 | AMERIKA | Gemeentearchief Steenwijkerland
1948/07/14 | Amigoe di Curacao | p | KBDDD02:000209262:mpeg21:a0005 | Communistisch front op Zuid -Oost Azië: Indonesië (Van onze correspondent te Batavia) | Koninklijke Bibliotheek
1947/07/03 | Nieuwe courant | p | MMNIOD04:000100548:mpeg21:a0042 | Handel en Financiën OVERZICHT VAN HANDELMIJ. HAGEMEYER EN CO. | NIOD Instituut voor Oorlogs-, Holocaust-
1947/09/19 | Aaltensche courant | p1 | MMECAL02:180130075:mpeg21:a00005 | NEDERLANDS-INDIE. Gaat opmars naar Djocjakarta niet door ? | Erfgoedcentrum Achterhoek en Liemers
1948/06/29 | De Nederlander | p1 | MMKB19:000082150:mpeg21:a00003 | Domper op het tïmisme van Griek se volk | Koninklijke Bibliotheek
1947/07/24 | De Surinamer : nieuws- en advertentieblad | p1 | ddd:011218458:mpeg21:a0014 | Indonesië. Koningin zendt boodschap aan troepen. | Koninklijke Bibliotheek 1608 C 7
1948/07/10 | De Surinamer : nieuws- en advertentieblad | p2 | ddd:011218611:mpeg21:a0049 | COMMUNISTISCH FRONT naar Z.O. AZIE: INDONESIE | Koninklijke Bibliotheek 1608 C 7
1947/09/20 | Gazet van Limburg | p1 | MMCC01:048013070:mpeg21:a00011 | Hatta Stelt voor Referendum op Sumatra Keuze tussen : de Republiek of „door Nederland geco | Centre Céramique
1948/11/22 | Nieuwe courant | p | MMNIOD04:000095910:mpeg21:a0025 | Kort Nieuws INDONESIë | NIOD Instituut voor Oorlogs-, Holocaust-
1948/10/14 | Algemeen Indisch dagblad | p | MMNIOD04:000093548:mpeg21:a0025 | KORT NIEUWS | NIOD Instituut voor Oorlogs-, Holocaust-
1948/11/17 | Het nieuwsblad voor Sumatra | p2 | ddd:010474844:mpeg21:a0035 | In den Hoek De Komeet | KB C 937

QUERY: "drijvende vulkaan" | collection: DDD_artikel | numberOfRecords: 27 
1929/12/28 | De Telegraaf | p5 | ddd:110569363:mpeg21:a0106 | „DRIJVENDE VULKAAN” OP HET HARINGVLIET. EEN VONK KAN EEN RAMP VEROORZAKEN. | KB C 98
1912/10/07 | Algemeen Handelsblad | p6 | ddd:010655423:mpeg21:a0116 | Buskruit B. | KB C 21
1912/10/26 | Westlandsche courant | p10 | MMMAAS01:210170203:mpeg21:a00059 | FRANKRIJK | Gemeente Maassluis
