QUERY: "orang medan" | collection: DDD_artikel | numberOfRecords: 8 
1911/03/01 | Het nieuws van den dag voor Nederlandsch-Indië | p11 | ddd:010135373:mpeg21:a0085 | Advertentie | KB C55
1911/12/23 | Het nieuws van den dag voor Nederlandsch-Indië | p18 | ddd:010136194:mpeg21:a0090 | Advertentie | KB C55
1911/09/30 | Het nieuws van den dag voor Nederlandsch-Indië | p19 | ddd:010136134:mpeg21:a0110 | Advertentie | KB C55
1911/04/22 | Het nieuws van den dag voor Nederlandsch-Indië | p16 | ddd:010135415:mpeg21:a0116 | Advertentie | KB C55
1941/05/03 | Algemeen Handelsblad | p | KBNRC01:000058542:mpeg21:a0094 | Advertentie | Koninklijke Bibliotheek
1911/08/09 | Het nieuws van den dag voor Nederlandsch-Indië | p16 | ddd:010136034:mpeg21:a0126 | Advertentie | KB C55
1911/08/23 | Het nieuws van den dag voor Nederlandsch-Indië | p15 | ddd:010136061:mpeg21:a0113 | Advertentie | KB C55
1911/05/20 | Het nieuws van den dag voor Nederlandsch-Indië | p15 | ddd:010136070:mpeg21:a0109 | Advertentie | KB C55
1911/07/08 | Het nieuws van den dag voor Nederlandsch-Indië | p19 | ddd:010136109:mpeg21:a0134 | Advertentie | KB C55
1939/03/31 | De locomotief | p7 | MMKB23:003471059:mpeg21:a00106 | De S.S.-Maquette. Terug uit Frisco. | Universitaire Bibliotheken Leiden
1939/12/04 | De Indische courant | p3 | ddd:010285894:mpeg21:a0245 | De scheepsbeweging in onze  haven. | KB C 248
1954/09/23 | Amigoe di Curacao : weekblad voor de Curacaosche eilanden | p6 | ddd:010404396:mpeg21:a0090 | Toeristenschepen beozken Curacao | KB C 251
1938/11/29 | De Indische courant | pII | ddd:010286312:mpeg21:a0114 | SCHEEPSBERICHTEN. De scheepsbeweging in onze haven. | KB C 248
1910/11/28 | De locomotief | p5 | MMKB23:001650098:mpeg21:a00048 | Tweede dag, 4 Dec. | Universitaire Bibliotheken Leiden
1985/12/06 | Het vrĳe volk : democratisch-socialistisch dagblad | p12 | ddd:010962249:mpeg21:a0057 | Advertentie | Gemeentearchief Rotterdam
1938/07/19 | Algemeen Handelsblad | p6 | ddd:010664871:mpeg21:a0229 | SILVER-JAVA PACIFIC-LIJN. | KB C 21
1939/02/05 | Algemeen Handelsblad | p | KBNRC01:000054893:mpeg21:a0288 | SILVER-JAVA PACIFIC-LIJN. | Koninklijke Bibliotheek
1938/05/27 | Algemeen Handelsblad | p21 | ddd:010664361:mpeg21:a0335 | SILVER-JAVA PACIFIC-LIJN. | KB C 21
1938/02/23 | Algemeen Handelsblad | p8 | ddd:010664213:mpeg21:a0180 | SILVER-JAVA PACIFIC-LIJN. | KB C 21
1938/02/24 | Algemeen Handelsblad | p8 | ddd:010664215:mpeg21:a0099 | SILVER-JAVA PACIFIC-LIJN. | KB C 21
1993/06/16 | De Telegraaf | p22 | ddd:010691815:mpeg21:a0624 | Advertentie | KB C 98
1939/06/02 | Utrechts volksblad : sociaal-democratisch dagblad | p17 | ddd:010941406:mpeg21:a0276 | SILVER—JAVA—PACIFIC LIJN. | Koninklijke Bibliotheek C 476
1993/02/03 | De Telegraaf | p13 | ddd:010691730:mpeg21:a0353 | Advertentie | KB C 98
1939/08/02 | Algemeen Handelsblad | p10 | ddd:010665003:mpeg21:a0185 | JAVA PACIFIC-LIJN. | KB C 21
1939/02/05 | Algemeen Handelsblad | p16 | ddd:010663315:mpeg21:a0308 | SILVER-JAVA PACIFIC-LIJN. | KB C 21
1993/04/14 | De Telegraaf | p15 | ddd:010691837:mpeg21:a0152 | Advertentie | KB C 98
1993/12/15 | De Telegraaf | p18 | ddd:010691764:mpeg21:a0195 | Advertentie | KB C 98
1960/09/16 | Emmer courant | p10 | MMGEM01:163365067:mpeg21:a00116 | Advertentie | Gemeente Emmen
1935/11/26 | Nieuwe Winterswijksche courant | p1 | MMECAL02:180025132:mpeg21:a00005 | Plaatselijk Nieuws | Erfgoedcentrum Achterhoek en Liemers
1911/10/25 | Het nieuws van den dag voor Nederlandsch-Indië | p14 | ddd:010136153:mpeg21:a0098 | Advertentie | KB C55
1942/03/21 | Algemeen Handelsblad | p | KBNRC01:000054541:mpeg21:a0129 | Advertentie | Koninklijke Bibliotheek
1951/10/22 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije Twentsche courant | p | MMSAEN01:000069367:mpeg21:a0061 | LAATSTE NIEUWS Mevrouw Den Ouden ontving de „Silver-Star" | Stadsarchief Enschede
1911/07/29 | Het nieuws van den dag voor Nederlandsch-Indië | p18 | ddd:010136026:mpeg21:a0132 | Advertentie | KB C55
1954/12/28 | Amigoe di Curacao : weekblad voor de Curacaosche eilanden | p2 | ddd:010404474:mpeg21:a0050 | Toeristen in Willemstad Winkels morgen open | KB C 251
1938/06/01 | De Indische courant | pII | ddd:010285991:mpeg21:a0114 | SCHEEPSBERJCHTEN. De scheepsbeweging in onze haven. | KB C 248
1939/06/02 | De Indische courant | pIV | ddd:010285791:mpeg21:a0199 | De scheepsbeweging in onze haven. | KB C 248
1955/03/07 | Amigoe di Curacao : weekblad voor de Curacaosche eilanden | p2 | ddd:010404531:mpeg21:a0013 | Vijf schepen, maar weinig passagiers | KB C 251
1939/02/22 | Algemeen Handelsblad | p | KBNRC01:000054970:mpeg21:a0125 | SILVER-JAVA PACIFIC-LIJN. | Koninklijke Bibliotheek

QUERY: "ourang medam" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: "ourang medau" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: ourangmedan | collection: DDD_artikel | numberOfRecords: 0 

