id	play_index	play_title	n_segments	n_words	n_verse_lines	n_prose_words
A50093	0	THE Bashful Lover.	5	19203	2691	0
A50093	1	THE GUARDIAN.	5	19583	2788	0
A50093	2	A Very VVoman.	5	19586	2858	0
A51499	0	The Island Princess.	14	10629	1259	243
A53517	0	THE HISTORY and FALL OF Caius Marius. A TRAGEDY.	14	20322	2432	2052
A58829	0	The unhappy kindness, or, A fruitless revenge a tragedy, as it is acte	5	16213	1772	1830
A59422	0	The history of Timon of Athens, the man-hater as it is acted at the Du	5	22679	2483	3351
A59422	1	The history of Timon of Athens, the man-hater as it is acted at the Du	1	129	0	129
A59493	0	The history of King Lear acted at the Duke's theatre / reviv'd with al	5	17549	2118	1983
A59493	1	The history of King Lear acted at the Duke's theatre / reviv'd with al	1	58	0	58
A59496	0	THE
HISTORY
OF
King Richard the IId.	17	15746	1779	1926
A59497	0	THE
TRAGEDY
OF
JULIUS CAESAR.	5	19274	2459	1341
A59501	0	K. HENRY IV.
WITH THE
HUMOURS
OF
Sir JOHN FALSTAFF.	17	20409	1299	10618
A59503	0	Macbeth a tragædy : with all the alterations, amendments, additions, a	9	16279	2262	160
A59508	0	Measure for Measure, &c.	8	13584	1664	1281
A59520	0	The tempest, or, The enchanted island a comedy, as it is now acted at 	5	22964	1737	9233
A59525	0	Titus Andronicus, or, The rape of Lavinia acted at the Theatre Royall 	7	16900	2282	0
A59527	0	THE TRAGEDY OF HAMLET PRINCE of DENMARK.	5	28616	3041	6312
A62946	0	The Ingratitude OF A Common-Wealth.	10	17073	1970	3060
A62964	0	THE Island Princess: OR, GENEROUS PORTUGALS.	12	13444	1749	1252
A69093	0	MONSIEVR D'OLIVE.	5	17305	938	9954
B13574	0	Monsieur Thomas, A Comedy.	28	20706	2999	2
B17587	0	THE Loyal SUBJECT; OR, THE Faithful General.	28	25312	3407	101
K000039.000	0	THE Basset Table.	5	15739	62	15238
K000039.000	1	The basset-table: A comedy. As it is acted at the Theatre-Royal in Dru	1	56	0	56
K001985.000	0	LOVE for LOVE.	5	28495	58	28076
K002806.000	0	ATHELWOLD: A TRAGEDY.	7	14988	2066	0
K009642.000	0	THE BUSIE BODY.	15	19523	54	19129
K015532.000	0	THE DRUMMER; OR, THE HAUNTED-HOUSE.	5	17265	10	17176
K015532.000	1	To Humphrey Vellum
Esq Steward to the Lady Truman.	1	88	0	88
K016151.000	0	THE Fatal Extravagance.	2	5697	757	16
K019154.000	0	Edward and Eleonora.	29	11855	1649	0
K027367.000	0	THE MOURNING BRIDE.	7	16570	2168	66
K032308.000	0	THE ARTIFICE. A COMEDY.	13	25930	193	24461
K032319.000	0	THE WONDER: A Woman keeps a SECRET.	10	19817	27	19595
K032330.000	0	THE PERJUR'D HUSBAND.	14	13004	1099	5010
K032335.000	0	CATO.	8	15267	1974	0
K036683.000	0	THE CRUEL GIFT: OR, THE Royal Resentment.	9	17920	2330	0
K036934.000	0	DOUBLE FALSHOOD; OR, The DISTREST LOVERS.	14	14696	1595	2947
K037803.000	0	The Historical Tragedy of King HENRY VI.	5	18150	2275	0
K039296.000	0	LUCIUS.	5	13483	1733	24
K039296.000	1	Lucius, the first Christian King of Britain: A tragedy. As it is acted	1	23	0	23
K039442.000	0	MARINA.	6	10719	933	3805
K039442.000	1	Marina: a play of three acts. As it is acted at the Theatre Royal in C	1	124	4	0
K040557.000	0	Liberty Asserted.	35	18685	2526	0
K040713.000	0	THE London Merchant: OR, THE HISTORY OF GEORGE BARNWELL.	58	15973	53	15551
K040713.000	1	The London merchant: or, the history of George Barnwell. As it is acte	1	85	0	85
K046085.000	0	THE TEMPEST. AN OPERA.	20	5021	489	1595
K046085.000	1	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	66	9	0
K046085.000	2	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	38	6	0
K046085.000	3	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	60	8	0
K046085.000	4	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	12	2	0
K046085.000	5	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	58	7	0
K046085.000	6	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	27	5	0
K046085.000	7	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	31	6	0
K046085.000	8	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	48	8	0
K046085.000	9	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	63	13	0
K046085.000	10	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	84	12	0
K046085.000	11	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	76	17	0
K046085.000	12	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	31	5	0
K046085.000	13	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	21	4	0
K046085.000	14	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	22	4	0
K046085.000	15	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	26	4	0
K046085.000	16	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	51	8	0
K046085.000	17	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	53	10	0
K046085.000	18	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	51	8	0
K046085.000	19	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	50	8	0
K046085.000	20	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	27	4	0
K046085.000	21	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	40	6	0
K046085.000	22	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	31	5	0
K046085.000	23	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	31	4	0
K046085.000	24	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	98	14	0
K046085.000	25	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	75	10	0
K046085.000	26	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	67	9	0
K046085.000	27	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	40	6	0
K046085.000	28	The tempest. An opera: Taken from Shakespear. As it is performed at th	1	48	2	0
