route,waypoint,km_from_island,stades_177.6,stades_185,z_dem_m,lat,lon,source
R2b,Le Planay (Bramans),234.6,1321,1268,1661,45.2070642,6.8349979,Nominatim/OSM node/4036393927 (hamlet)
R2b,Col du Petit Mont-Cenis,237.2,1336,1282,2181,45.2108326,6.8661704,Nominatim/OSM node/6712847446 (saddle)
R2b,Mont-Cenis plateau (lake),243.9,1374,1319,1959,45.232,6.938,"Mont-Cenis plateau by the (modern) lake, on the old road (manual)"
R2b,Novalesa,249.9,1407,1351,1464,45.1895,6.9795,"Novalesa, Cenischia valley below the Mont-Cenis (manual)"
R2b,Susa,257.9,1452,1394,505,45.1383808,7.0493387,Nominatim/OSM relation/44287 (administrative)
R2b,Bussoleno,265.7,1496,1436,439,45.1392706,7.1477166,Nominatim/OSM relation/44134 (administrative)
R2b,Sant'Ambrogio di Torino,283.6,1597,1533,354,45.099445,7.362315,Nominatim/OSM relation/44184 (administrative)
R2b,Avigliana,287.4,1619,1554,373,45.0779435,7.3983904,Nominatim/OSM relation/44097 (administrative)
R2b,Rivoli,297.0,1673,1606,360,45.0697151,7.5176764,Nominatim/OSM relation/44071 (administrative)
R2b,Turin,310.3,1747,1677,242,45.0677551,7.6824892,Nominatim/OSM relation/43992 (administrative)
R3,Island (i): Isere-Rhone confluence,0.0,0,0,111,44.985,4.855,confluence just north of Valence (manual)
R3,Romans,17.4,98,94,166,45.0458886,5.0528681,Nominatim/OSM relation/36664 (administrative)
R3,Saint-Marcellin,42.5,240,230,286,45.1539715,5.320347,Nominatim/OSM relation/191569 (administrative)
R3,Tullins,64.3,362,347,238,45.2977714,5.4829748,Nominatim/OSM relation/190861 (administrative)
R3,Voreppe,76.8,432,415,218,45.2928424,5.6361825,Nominatim/OSM relation/85956 (administrative)
R3,Grenoble,91.3,514,493,215,45.1875602,5.7357819,Nominatim/OSM relation/80348 (administrative)
R3,Pontcharra,127.6,718,690,269,45.4327537,6.0204233,Nominatim/OSM relation/88810 (administrative)
R3,Montmelian,135.9,765,734,307,45.5009946,6.0587974,Nominatim/OSM relation/113499 (administrative)
R3,Albertville,168.7,950,912,346,45.6754622,6.3925417,Nominatim/OSM relation/111528 (administrative)
R3,Moutiers,194.4,1095,1051,482,45.4849883,6.5340061,Nominatim/OSM relation/129478 (administrative)
R3,Aime,207.4,1168,1121,666,45.5547,6.6489,Aime town on the Isere; Nominatim centroid of Aime-la-Plagne was on the hillside (manual)
R3,Bourg-Saint-Maurice,220.5,1241,1192,825,45.6186105,6.7695277,Nominatim/OSM relation/128060 (administrative)
R3,Seez,223.0,1256,1205,898,45.6229873,6.8001912,Nominatim/OSM relation/133460 (administrative)
R3,Col du Petit-Saint-Bernard,232.1,1307,1254,2189,45.6792488,6.8829399,Nominatim/OSM node/6126335144 (yes)
R3,La Thuile,238.8,1345,1291,1450,45.7162875,6.9486119,Nominatim/OSM node/258628667 (village)
R3,Pre-Saint-Didier,245.1,1380,1325,1026,45.7639422,6.9853467,Nominatim/OSM relation/46032 (administrative)
R3,Morgex,249.1,1403,1347,926,45.7580223,7.0354328,Nominatim/OSM node/1735580745 (village)
R3,Aosta,274.7,1547,1485,587,45.7373075,7.3204025,Nominatim/OSM relation/45916 (administrative)
R3,Chatillon (Aosta),298.0,1678,1611,519,45.7495,7.6155,Chatillon town on the Dora Baltea (manual)
R3,Pont-Saint-Martin,322.8,1817,1745,333,45.5975,7.797,Pont-Saint-Martin town (manual)
R3,Ivrea,340.9,1919,1843,227,45.451803,7.8932496,Nominatim/OSM relation/44971 (administrative)
R3,Chivasso,370.4,2085,2002,185,45.1898322,7.8860277,Nominatim/OSM relation/44385 (administrative)
R3,Turin,391.4,2204,2116,242,45.0677551,7.6824892,Nominatim/OSM relation/43992 (administrative)
R3m,Island (i): Isere-Rhone confluence,0.0,0,0,111,44.985,4.855,confluence just north of Valence (manual)
R3m,Romans,17.4,98,94,166,45.0458886,5.0528681,Nominatim/OSM relation/36664 (administrative)
R3m,Saint-Marcellin,42.5,240,230,286,45.1539715,5.320347,Nominatim/OSM relation/191569 (administrative)
R3m,Tullins,64.3,362,347,238,45.2977714,5.4829748,Nominatim/OSM relation/190861 (administrative)
R3m,Voreppe,76.8,432,415,218,45.2928424,5.6361825,Nominatim/OSM relation/85956 (administrative)
R3m,Grenoble,91.3,514,493,215,45.1875602,5.7357819,Nominatim/OSM relation/80348 (administrative)
R3m,Pontcharra,127.6,718,690,269,45.4327537,6.0204233,Nominatim/OSM relation/88810 (administrative)
R3m,Montmelian,135.9,765,734,307,45.5009946,6.0587974,Nominatim/OSM relation/113499 (administrative)
R3m,Albertville,168.7,950,912,346,45.6754622,6.3925417,Nominatim/OSM relation/111528 (administrative)
R3m,Moutiers,194.4,1095,1051,482,45.4849883,6.5340061,Nominatim/OSM relation/129478 (administrative)
R3m,Aime,207.4,1168,1121,666,45.5547,6.6489,Aime town on the Isere; Nominatim centroid of Aime-la-Plagne was on the hillside (manual)
R3m,Bourg-Saint-Maurice,220.5,1241,1192,825,45.6186105,6.7695277,Nominatim/OSM relation/128060 (administrative)
R3m,Seez,223.0,1256,1205,898,45.6229873,6.8001912,Nominatim/OSM relation/133460 (administrative)
R3m,Col du Petit-Saint-Bernard,232.1,1307,1254,2189,45.6792488,6.8829399,Nominatim/OSM node/6126335144 (yes)
R3m,La Thuile,238.8,1345,1291,1450,45.7162875,6.9486119,Nominatim/OSM node/258628667 (village)
R3m,Pre-Saint-Didier,245.1,1380,1325,1026,45.7639422,6.9853467,Nominatim/OSM relation/46032 (administrative)
R3m,Morgex,249.1,1403,1347,926,45.7580223,7.0354328,Nominatim/OSM node/1735580745 (village)
R3m,Aosta,274.7,1547,1485,587,45.7373075,7.3204025,Nominatim/OSM relation/45916 (administrative)
R3m,Chatillon (Aosta),298.0,1678,1611,519,45.7495,7.6155,Chatillon town on the Dora Baltea (manual)
R3m,Pont-Saint-Martin,322.8,1817,1745,333,45.5975,7.797,Pont-Saint-Martin town (manual)
R3m,Ivrea,340.9,1919,1843,227,45.451803,7.8932496,Nominatim/OSM relation/44971 (administrative)
R3m,Vercelli,385.8,2173,2086,139,45.3251557,8.4227666,Nominatim/OSM relation/1552703 (administrative)
R3m,Novara,406.5,2289,2197,170,45.4464036,8.619655,Nominatim/OSM relation/44898 (administrative)
