n,word_hyphen_split,initial_hyphen_split,word_hyphen_joined,initial_hyphen_joined
1161,in,I,in,I
1162,war,W,peace,P
1163,in,I,friends,F
1164,peace,P,we,W
1165,friends,F,therefore,T
1166,we,W,the,T
1167,therefore,T,representatives,R
1168,the,T,of,O
1169,representatives,R,the,T
1170,of,O,united,U
1171,the,T,states,S
1172,united,U,of,O
1173,states,S,america,A
1174,of,O,in,I
1175,america,A,general,G
1176,in,I,congress,C
1177,general,G,assembled,A
1178,congress,C,appealing,A
1179,assembled,A,to,T
1180,appealing,A,the,T
1181,to,T,supreme,S
1182,the,T,judge,J
1183,supreme,S,of,O
1184,judge,J,the,T
1185,of,O,world,W
1186,the,T,for,F
1187,world,W,the,T
1188,for,F,rectitude,R
1189,the,T,of,O
1190,rectitude,R,our,O
1191,of,O,intentions,I
1192,our,O,do,D
1193,intentions,I,in,I
1194,do,D,the,T
1195,in,I,name,N
1196,the,T,and,A
1197,name,N,by,B
1198,and,A,the,T
1199,by,B,authority,A
1200,the,T,of,O
1201,authority,A,the,T
1202,of,O,good,G
1203,the,T,people,P
1204,good,G,of,O
